Date,Time,Coffee Type,Price,Payment Type,Location
2024-03-01,20:29,Hot Chocolate,232.2,Card,Location1
2024-01-09,12:25,Americano with milk,200.8,Cash,Location1
2024-07-03,18:26,Cappuccino,232.2,Cash,Location1
2024-04-16,18:59,Americano,175.2,Card,Location1
2024-01-16,20:00,Americano with milk,200.8,Cash,Location1
2024-04-24,12:49,Americano,175.2,Cash,Location1
2024-03-14,10:57,Espresso,145.0,Card,Location1
2024-03-11,16:51,Latte,215.4,Cash,Location1
2024-05-14,20:44,Cocoa,240.6,Card,Location1
2024-05-17,17:04,Hot Chocolate,232.2,Cash,Location1
2024-03-18,12:19,Americano with milk,200.8,Cash,Location1
2024-01-31,12:26,Cortado,170.2,Card,Location1
2024-06-11,17:07,Hot Chocolate,232.2,Cash,Location1
2024-06-13,19:43,Hot Chocolate,232.2,Cash,Location1
2024-05-09,11:24,Latte,215.4,Card,Location1
2024-01-15,10:22,Cortado,170.2,Cash,Location1
2024-03-01,12:03,Cocoa,240.6,Cash,Location1
2024-02-16,17:16,Hot Chocolate,232.2,Card,Location1
2024-04-07,21:27,Americano with milk,200.8,Cash,Location1
2024-04-20,11:23,Hot Chocolate,232.2,Card,Location1
2024-01-23,17:08,Espresso,145.0,Cash,Location1
2024-02-14,13:20,Americano,175.2,Card,Location1
2024-04-24,14:22,Espresso,145.0,Cash,Location1
2024-03-11,12:31,Americano with milk,200.8,Card,Location1
2024-02-17,20:53,Americano with milk,200.8,Card,Location1
2024-04-11,11:46,Cocoa,240.6,Cash,Location1
2024-04-08,13:27,Cappuccino,232.2,Cash,Location1
2024-01-09,19:58,Americano,175.2,Card,Location1
2024-06-25,21:11,Hot Chocolate,232.2,Card,Location1
2024-02-04,19:58,Latte,215.4,Card,Location1
2024-02-22,17:41,Americano,175.2,Card,Location1
2024-02-01,12:16,Cocoa,240.6,Card,Location1
2024-01-31,12:37,Espresso,145.0,Cash,Location1
2024-05-22,21:04,Americano,175.2,Cash,Location1
2024-05-18,10:37,Espresso,145.0,Card,Location1
2024-02-28,17:16,Cocoa,240.6,Cash,Location1
2024-05-14,13:23,Hot Chocolate,232.2,Cash,Location1
2024-07-14,14:12,Cortado,170.2,Cash,Location1
2024-07-11,21:15,Cortado,170.2,Cash,Location1
2024-02-05,18:41,Espresso,145.0,Card,Location1
2024-03-03,19:30,Americano,175.2,Cash,Location1
2024-04-25,10:29,Americano with milk,200.8,Card,Location1
2024-01-01,19:24,Americano with milk,200.8,Cash,Location1
2024-07-11,12:31,Latte,215.4,Card,Location1
2024-01-05,13:58,Hot Chocolate,232.2,Cash,Location1
2024-03-08,13:14,Cortado,170.2,Cash,Location1
2024-07-07,20:42,Espresso,145.0,Cash,Location1
2024-06-07,13:29,Cappuccino,232.2,Card,Location1
2024-03-22,17:29,Cappuccino,232.2,Card,Location1
2024-05-21,18:58,Espresso,145.0,Cash,Location1
2024-04-10,15:08,Americano with milk,200.8,Card,Location1
2024-06-17,18:20,Cortado,170.2,Card,Location1
2024-05-30,10:30,Espresso,145.0,Cash,Location1
2024-01-07,14:08,Cocoa,240.6,Cash,Location1
2024-05-19,12:53,Espresso,145.0,Cash,Location1
2024-04-18,18:44,Americano,175.2,Cash,Location1
2024-01-17,11:53,Americano,175.2,Card,Location1
2024-06-25,11:45,Cortado,170.2,Cash,Location1
2024-02-12,21:20,Americano,175.2,Cash,Location1
2024-01-18,16:22,Americano,175.2,Cash,Location1
2024-06-15,21:29,Cortado,170.2,Cash,Location1
2024-04-24,13:12,Cortado,170.2,Card,Location1
2024-01-26,15:10,Cortado,170.2,Card,Location1
2024-06-02,11:57,Americano,175.2,Card,Location1
2024-02-01,10:21,Cocoa,240.6,Cash,Location1
2024-03-30,11:10,Cortado,170.2,Card,Location1
2024-03-02,12:29,Cocoa,240.6,Cash,Location1
2024-05-12,17:03,Cocoa,240.6,Card,Location1
2024-01-19,14:45,Cocoa,240.6,Cash,Location1
2024-01-04,14:06,Latte,215.4,Cash,Location1
2024-06-23,12:23,Americano,175.2,Cash,Location1
2024-03-01,19:59,Americano with milk,200.8,Cash,Location1
2024-04-28,19:41,Hot Chocolate,232.2,Card,Location1
2024-05-25,16:58,Espresso,145.0,Card,Location1
2024-04-06,20:42,Cortado,170.2,Card,Location1
2024-05-23,12:48,Americano,175.2,Cash,Location1
2024-03-20,14:00,Americano with milk,200.8,Card,Location1
2024-04-30,20:38,Espresso,145.0,Cash,Location1
2024-01-28,16:27,Espresso,145.0,Cash,Location1
2024-04-21,17:37,Americano,175.2,Cash,Location1
2024-02-09,20:05,Americano,175.2,Card,Location1
2024-06-28,21:19,Americano,175.2,Card,Location1
2024-05-11,21:21,Cocoa,240.6,Cash,Location1
2024-01-06,12:19,Hot Chocolate,232.2,Card,Location1
2024-03-21,14:55,Cappuccino,232.2,Card,Location1
2024-06-13,16:27,Latte,215.4,Card,Location1
2024-01-12,11:15,Hot Chocolate,232.2,Cash,Location1
2024-02-06,18:28,Espresso,145.0,Cash,Location1
2024-05-26,18:01,Cocoa,240.6,Card,Location1
2024-06-30,20:46,Americano with milk,200.8,Cash,Location1
2024-07-10,15:35,Hot Chocolate,232.2,Card,Location1
2024-02-28,13:28,Americano with milk,200.8,Cash,Location1
2024-03-25,16:34,Espresso,145.0,Cash,Location1
2024-03-22,10:31,Cocoa,240.6,Card,Location1
2024-07-13,18:40,Americano,175.2,Cash,Location1
2024-04-15,11:29,Cocoa,240.6,Card,Location1
2024-06-12,18:29,Latte,215.4,Card,Location1
2024-04-16,21:12,Hot Chocolate,232.2,Card,Location1
2024-02-28,18:15,Espresso,145.0,Cash,Location1
2024-07-02,18:58,Espresso,145.0,Card,Location1
2024-06-23,18:32,Americano,175.2,Card,Location1
2024-01-28,18:40,Cocoa,240.6,Cash,Location1
2024-02-09,19:22,Cortado,170.2,Card,Location1
2024-07-06,21:06,Cappuccino,232.2,Card,Location1
2024-02-02,14:25,Hot Chocolate,232.2,Cash,Location1
2024-04-15,18:15,Cocoa,240.6,Card,Location1
2024-01-19,10:58,Cocoa,240.6,Card,Location1
2024-04-16,13:47,Latte,215.4,Card,Location1
2024-01-15,16:27,Americano with milk,200.8,Cash,Location1
2024-02-07,19:30,Latte,215.4,Card,Location1
2024-04-24,14:45,Hot Chocolate,232.2,Card,Location1
2024-03-18,16:39,Cocoa,240.6,Card,Location1
2024-03-25,13:15,Cappuccino,232.2,Cash,Location1
2024-05-16,19:39,Cappuccino,232.2,Cash,Location1
2024-01-15,13:16,Hot Chocolate,232.2,Cash,Location1
2024-03-26,18:18,Espresso,145.0,Card,Location1
2024-03-01,13:22,Cappuccino,232.2,Cash,Location1
2024-04-08,18:43,Cocoa,240.6,Cash,Location1
2024-01-11,20:04,Cocoa,240.6,Card,Location1
2024-07-06,19:52,Latte,215.4,Card,Location1
2024-05-01,14:57,Hot Chocolate,232.2,Card,Location1
2024-04-12,16:18,Cocoa,240.6,Cash,Location1
2024-03-07,14:45,Hot Chocolate,232.2,Card,Location1
2024-05-18,10:39,Hot Chocolate,232.2,Card,Location1
2024-06-08,13:34,Latte,215.4,Cash,Location1
2024-02-06,11:19,Espresso,145.0,Card,Location1
2024-05-14,15:00,Cocoa,240.6,Card,Location1
2024-03-18,11:02,Espresso,145.0,Card,Location1
2024-03-13,16:11,Americano with milk,200.8,Card,Location1
2024-02-28,20:29,Cocoa,240.6,Card,Location1
2024-05-20,10:53,Cocoa,240.6,Cash,Location1
2024-04-11,21:24,Cappuccino,232.2,Card,Location1
2024-05-14,12:11,Latte,215.4,Cash,Location1
2024-02-02,19:43,Americano with milk,200.8,Cash,Location1
2024-02-23,19:39,Hot Chocolate,232.2,Cash,Location1
2024-04-24,16:54,Latte,215.4,Cash,Location1
2024-06-23,10:31,Espresso,145.0,Cash,Location1
2024-05-11,21:07,Latte,215.4,Cash,Location1
2024-07-10,18:17,Cocoa,240.6,Card,Location1
2024-03-07,10:00,Cappuccino,232.2,Cash,Location1
2024-06-19,10:55,Americano,175.2,Card,Location1
2024-02-02,15:02,Espresso,145.0,Cash,Location1
2024-04-06,11:37,Latte,215.4,Card,Location1
2024-03-07,11:32,Cappuccino,232.2,Cash,Location1
2024-03-16,19:53,Americano with milk,200.8,Card,Location1
2024-02-20,19:05,Latte,215.4,Card,Location1
2024-05-28,18:52,Cocoa,240.6,Card,Location1
2024-03-24,13:40,Cocoa,240.6,Card,Location1
2024-06-05,15:47,Cappuccino,232.2,Cash,Location1
2024-04-03,10:40,Americano with milk,200.8,Cash,Location1
2024-03-31,19:22,Americano,175.2,Card,Location1
2024-02-08,14:29,Hot Chocolate,232.2,Cash,Location1
2024-05-26,12:38,Cocoa,240.6,Card,Location1
2024-05-06,11:44,Americano with milk,200.8,Card,Location1
2024-06-25,11:39,Americano with milk,200.8,Cash,Location1
2024-06-13,14:01,Latte,215.4,Card,Location1
2024-04-22,14:59,Espresso,145.0,Card,Location1
2024-01-15,18:38,Latte,215.4,Cash,Location1
2024-06-20,16:27,Cortado,170.2,Card,Location1
2024-03-09,10:53,Cortado,170.2,Cash,Location1
2024-02-03,11:08,Americano,175.2,Cash,Location1
2024-02-09,14:22,Cocoa,240.6,Cash,Location1
2024-02-22,17:56,Cappuccino,232.2,Card,Location1
2024-06-12,13:21,Cappuccino,232.2,Card,Location1
2024-03-05,15:55,Espresso,145.0,Card,Location1
2024-07-05,17:17,Cortado,170.2,Card,Location1
2024-03-22,13:19,Americano with milk,200.8,Cash,Location1
2024-02-17,18:26,Cortado,170.2,Card,Location1
2024-02-26,19:40,Hot Chocolate,232.2,Card,Location1
2024-02-23,18:16,Latte,215.4,Card,Location1
2024-01-01,21:23,Espresso,145.0,Cash,Location1
2024-01-03,15:59,Hot Chocolate,232.2,Cash,Location1
2024-01-20,13:23,Latte,215.4,Card,Location1
2024-07-06,19:47,Espresso,145.0,Cash,Location1
2024-03-05,21:16,Cocoa,240.6,Card,Location1
2024-02-24,17:56,Cocoa,240.6,Cash,Location1
2024-07-12,12:13,Cortado,170.2,Card,Location1
2024-04-17,13:04,Americano with milk,200.8,Card,Location1
2024-04-09,11:05,Cappuccino,232.2,Cash,Location1
2024-03-18,10:02,Latte,215.4,Card,Location1
2024-05-31,15:27,Americano with milk,200.8,Cash,Location1
2024-01-11,16:41,Latte,215.4,Cash,Location1
2024-01-11,17:11,Cortado,170.2,Cash,Location1
2024-06-23,10:26,Americano,175.2,Card,Location1
2024-04-23,13:30,Americano with milk,200.8,Card,Location1
2024-06-17,12:25,Latte,215.4,Cash,Location1
2024-01-31,17:45,Espresso,145.0,Card,Location1
2024-05-04,13:24,Cocoa,240.6,Cash,Location1
2024-02-24,17:51,Latte,215.4,Cash,Location1
2024-06-18,13:59,Cocoa,240.6,Cash,Location1
2024-02-10,15:16,Americano,175.2,Card,Location1
2024-05-03,17:19,Hot Chocolate,232.2,Cash,Location1
2024-01-03,11:23,Cappuccino,232.2,Card,Location1
2024-04-11,17:01,Cappuccino,232.2,Cash,Location1
2024-07-09,14:35,Latte,215.4,Card,Location1
2024-05-10,21:15,Cappuccino,232.2,Card,Location1
2024-06-27,16:22,Cappuccino,232.2,Card,Location1
2024-01-04,18:05,Cocoa,240.6,Card,Location1
2024-02-08,14:53,Cocoa,240.6,Cash,Location1
2024-04-12,19:09,Americano with milk,200.8,Cash,Location1
2024-01-21,19:22,Americano,175.2,Cash,Location1
2024-03-04,13:32,Cocoa,240.6,Card,Location1
2024-02-16,21:10,Hot Chocolate,232.2,Cash,Location1
2024-05-31,10:54,Cappuccino,232.2,Card,Location1
2024-01-10,14:11,Cappuccino,232.2,Cash,Location1
2024-07-06,20:06,Americano,175.2,Cash,Location1
2024-04-30,16:56,Americano,175.2,Card,Location1
2024-06-19,11:06,Cocoa,240.6,Cash,Location1
2024-04-15,17:34,Hot Chocolate,232.2,Cash,Location1
2024-02-24,10:07,Cortado,170.2,Cash,Location1
2024-04-12,14:04,Cortado,170.2,Cash,Location1
2024-06-12,13:44,Americano,175.2,Card,Location1
2024-04-30,13:35,Espresso,145.0,Card,Location1
2024-04-02,12:48,Americano,175.2,Card,Location1
2024-05-04,18:30,Cocoa,240.6,Card,Location1
2024-02-05,15:04,Cocoa,240.6,Cash,Location1
2024-01-11,11:36,Espresso,145.0,Card,Location1
2024-07-05,16:02,Cappuccino,232.2,Cash,Location1
2024-06-04,21:20,Americano with milk,200.8,Card,Location1
2024-07-03,15:39,Hot Chocolate,232.2,Cash,Location1
2024-01-31,17:32,Hot Chocolate,232.2,Card,Location1
2024-04-27,13:27,Americano,175.2,Cash,Location1
2024-07-12,10:27,Cortado,170.2,Cash,Location1
2024-01-29,10:49,Cappuccino,232.2,Card,Location1
2024-04-10,16:11,Hot Chocolate,232.2,Card,Location1
2024-03-28,10:50,Cortado,170.2,Cash,Location1
2024-01-12,11:15,Espresso,145.0,Cash,Location1
2024-06-08,12:48,Cocoa,240.6,Card,Location1
2024-02-24,20:53,Latte,215.4,Card,Location1
2024-07-05,12:37,Cappuccino,232.2,Card,Location1
2024-02-11,14:35,Cortado,170.2,Card,Location1
2024-05-24,13:45,Latte,215.4,Cash,Location1
2024-04-07,10:50,Cappuccino,232.2,Card,Location1
2024-06-16,14:24,Cappuccino,232.2,Cash,Location1
2024-04-13,11:32,Espresso,145.0,Cash,Location1
2024-04-26,15:28,Cortado,170.2,Cash,Location1
2024-01-29,20:15,Cappuccino,232.2,Card,Location1
2024-04-30,12:37,Latte,215.4,Cash,Location1
2024-04-22,14:31,Americano with milk,200.8,Cash,Location1
2024-03-25,12:17,Americano with milk,200.8,Cash,Location1
2024-02-14,17:03,Hot Chocolate,232.2,Card,Location1
2024-05-11,16:20,Espresso,145.0,Cash,Location1
2024-01-09,10:45,Cortado,170.2,Card,Location1
2024-02-12,20:36,Hot Chocolate,232.2,Card,Location1
2024-03-05,18:17,Americano,175.2,Card,Location1
2024-03-06,15:23,Hot Chocolate,232.2,Card,Location1
2024-02-22,14:23,Cappuccino,232.2,Card,Location1
2024-03-02,21:13,Hot Chocolate,232.2,Cash,Location1
2024-03-24,11:48,Espresso,145.0,Card,Location1
2024-01-03,15:59,Americano,175.2,Cash,Location1
2024-05-08,11:55,Americano with milk,200.8,Card,Location1
2024-06-08,18:23,Americano with milk,200.8,Cash,Location1
2024-02-18,17:08,Americano,175.2,Cash,Location1
2024-01-14,10:07,Hot Chocolate,232.2,Card,Location1
2024-01-13,15:57,Cortado,170.2,Cash,Location1
2024-03-30,18:28,Latte,215.4,Cash,Location1
2024-02-16,10:01,Cortado,170.2,Cash,Location1
2024-05-24,14:47,Cocoa,240.6,Cash,Location1
2024-05-23,18:07,Hot Chocolate,232.2,Cash,Location1
2024-06-09,17:29,Cortado,170.2,Cash,Location1
2024-06-19,12:47,Cappuccino,232.2,Card,Location1
2024-04-08,15:53,Espresso,145.0,Card,Location1
2024-01-25,13:04,Cocoa,240.6,Card,Location1
2024-06-13,21:10,Cappuccino,232.2,Cash,Location1
2024-06-09,11:27,Americano,175.2,Cash,Location1
2024-03-22,19:55,Cocoa,240.6,Cash,Location1
2024-05-02,13:31,Americano with milk,200.8,Card,Location1
2024-07-04,21:06,Espresso,145.0,Card,Location1
2024-06-02,17:53,Hot Chocolate,232.2,Card,Location1
2024-04-27,18:00,Cortado,170.2,Card,Location1
2024-06-21,11:54,Cocoa,240.6,Cash,Location1
2024-01-30,11:11,Cappuccino,232.2,Card,Location1
2024-05-22,14:37,Americano with milk,200.8,Card,Location1
2024-03-20,21:06,Americano,175.2,Card,Location1
2024-02-13,17:34,Americano,175.2,Cash,Location1
2024-03-27,12:58,Hot Chocolate,232.2,Cash,Location1
2024-05-15,13:56,Americano with milk,200.8,Cash,Location1
2024-05-09,10:09,Cocoa,240.6,Card,Location1
2024-05-26,11:14,Americano,175.2,Card,Location1
2024-06-30,20:03,Cocoa,240.6,Cash,Location1
2024-04-21,15:53,Hot Chocolate,232.2,Cash,Location1
2024-03-26,19:24,Americano,175.2,Card,Location1
2024-05-03,15:36,Cortado,170.2,Card,Location1
2024-05-24,17:35,Cocoa,240.6,Card,Location1
2024-05-09,11:53,Americano with milk,200.8,Cash,Location1
2024-01-12,11:15,Cocoa,240.6,Cash,Location1
2024-03-27,19:03,Cocoa,240.6,Cash,Location1
2024-06-30,14:36,Cortado,170.2,Card,Location1
2024-02-12,11:37,Americano with milk,200.8,Cash,Location1
2024-07-06,10:40,Americano with milk,200.8,Card,Location1
2024-03-30,16:21,Cocoa,240.6,Cash,Location1
2024-04-19,11:00,Espresso,145.0,Card,Location1
2024-03-30,13:04,Latte,215.4,Cash,Location1
2024-02-15,17:22,Americano with milk,200.8,Card,Location1
2024-05-05,20:15,Hot Chocolate,232.2,Cash,Location1
2024-02-05,21:00,Cappuccino,232.2,Card,Location1
2024-02-21,15:23,Cappuccino,232.2,Card,Location1
2024-01-14,17:33,Latte,215.4,Card,Location1
2024-02-21,11:51,Latte,215.4,Cash,Location1
2024-01-07,10:41,Cortado,170.2,Cash,Location1
2024-05-20,13:14,Cortado,170.2,Card,Location1
2024-04-30,12:07,Cocoa,240.6,Card,Location1
2024-06-19,12:27,Latte,215.4,Cash,Location1
2024-02-13,21:04,Americano,175.2,Cash,Location1
2024-04-13,16:46,Cortado,170.2,Card,Location1
2024-04-14,21:03,Americano,175.2,Cash,Location1
2024-05-09,12:39,Americano,175.2,Card,Location1
2024-01-31,17:47,Americano,175.2,Card,Location1
2024-02-17,11:32,Hot Chocolate,232.2,Card,Location1
2024-04-20,18:55,Americano with milk,200.8,Card,Location1
2024-03-05,20:20,Americano with milk,200.8,Cash,Location1
2024-05-25,11:59,Cappuccino,232.2,Cash,Location1
2024-04-17,10:02,Espresso,145.0,Card,Location1
2024-01-31,15:18,Cappuccino,232.2,Card,Location1
2024-04-28,13:55,Cocoa,240.6,Cash,Location1
2024-05-05,12:17,Hot Chocolate,232.2,Card,Location1
2024-04-28,19:15,Espresso,145.0,Card,Location1
2024-07-15,10:03,Cappuccino,232.2,Cash,Location1
2024-04-29,13:00,Latte,215.4,Card,Location1
2024-02-24,14:21,Americano,175.2,Cash,Location1
2024-06-16,16:06,Americano,175.2,Card,Location1
2024-07-01,14:21,Espresso,145.0,Cash,Location1
2024-07-02,11:37,Cortado,170.2,Card,Location1
2024-01-10,19:35,Cappuccino,232.2,Cash,Location1
2024-02-08,18:00,Americano,175.2,Card,Location1
2024-01-14,14:44,Hot Chocolate,232.2,Cash,Location1
2024-02-16,11:55,Americano,175.2,Cash,Location1
2024-01-11,12:54,Hot Chocolate,232.2,Cash,Location1
2024-04-14,20:14,Americano,175.2,Card,Location1
2024-04-04,15:14,Cortado,170.2,Card,Location1
2024-05-04,20:20,Espresso,145.0,Cash,Location1
2024-01-02,11:48,Americano,175.2,Cash,Location1
2024-06-03,11:36,Cortado,170.2,Cash,Location1
2024-05-17,13:46,Latte,215.4,Card,Location1
2024-01-21,13:08,Cortado,170.2,Cash,Location1
2024-05-15,21:01,Espresso,145.0,Card,Location1
2024-05-06,13:38,Latte,215.4,Cash,Location1
2024-05-21,16:07,Cortado,170.2,Card,Location1
2024-06-13,14:42,Espresso,145.0,Cash,Location1
2024-01-08,20:55,Cappuccino,232.2,Cash,Location1
2024-06-24,16:05,Latte,215.4,Cash,Location1
2024-03-07,12:32,Cocoa,240.6,Card,Location1
2024-06-25,12:07,Cortado,170.2,Cash,Location1
2024-03-29,11:39,Cocoa,240.6,Cash,Location1
2024-02-01,13:32,Espresso,145.0,Card,Location1
2024-03-01,14:45,Americano,175.2,Cash,Location1
2024-03-28,11:07,Espresso,145.0,Cash,Location1
2024-01-23,20:10,Espresso,145.0,Card,Location1
2024-05-05,16:53,Espresso,145.0,Cash,Location1
2024-06-06,14:04,Americano,175.2,Cash,Location1
2024-03-24,13:06,Latte,215.4,Cash,Location1
2024-06-10,20:28,Espresso,145.0,Cash,Location1
2024-04-11,17:09,Cocoa,240.6,Card,Location1
2024-03-19,10:04,Americano,175.2,Card,Location1
2024-04-10,15:31,Cortado,170.2,Cash,Location1
2024-06-10,16:22,Americano,175.2,Card,Location1
2024-02-19,13:54,Cortado,170.2,Cash,Location1
2024-01-10,13:40,Cortado,170.2,Cash,Location1
2024-01-31,20:00,Cortado,170.2,Card,Location1
2024-04-16,18:48,Latte,215.4,Cash,Location1
2024-02-03,16:56,Cortado,170.2,Cash,Location1
2024-02-29,14:25,Cocoa,240.6,Card,Location1
2024-05-18,13:14,Cortado,170.2,Card,Location1
2024-01-13,10:25,Hot Chocolate,232.2,Card,Location1
2024-03-02,21:26,Hot Chocolate,232.2,Card,Location1
2024-01-09,16:22,Cappuccino,232.2,Card,Location1
2024-04-01,19:58,Espresso,145.0,Card,Location1
2024-03-28,13:02,Cortado,170.2,Cash,Location1
2024-02-25,19:10,Cappuccino,232.2,Cash,Location1
2024-04-13,13:00,Latte,215.4,Cash,Location1
2024-01-25,20:33,Latte,215.4,Cash,Location1
2024-04-08,12:49,Espresso,145.0,Card,Location1
2024-01-15,15:39,Espresso,145.0,Cash,Location1
2024-03-23,14:17,Americano with milk,200.8,Card,Location1
2024-04-25,12:36,Americano,175.2,Card,Location1
2024-06-19,20:03,Hot Chocolate,232.2,Cash,Location1
2024-05-31,13:12,Americano,175.2,Cash,Location1
2024-03-12,17:11,Cortado,170.2,Cash,Location1
2024-04-25,16:25,Hot Chocolate,232.2,Cash,Location1
2024-02-28,10:39,Cortado,170.2,Cash,Location1
2024-03-23,17:44,Americano with milk,200.8,Cash,Location1
2024-01-04,10:18,Americano,175.2,Cash,Location1
2024-03-27,14:37,Cocoa,240.6,Cash,Location1
2024-05-29,19:35,Americano with milk,200.8,Card,Location1
2024-05-17,16:37,Cocoa,240.6,Cash,Location1
2024-01-29,15:57,Latte,215.4,Cash,Location1
2024-02-20,21:20,Cocoa,240.6,Card,Location1
2024-03-30,10:43,Espresso,145.0,Cash,Location1
2024-03-01,12:42,Hot Chocolate,232.2,Card,Location1
2024-02-26,20:36,Americano with milk,200.8,Cash,Location1
2024-05-30,19:47,Cortado,170.2,Cash,Location1
2024-04-08,21:18,Americano with milk,200.8,Card,Location1
2024-03-09,10:39,Americano with milk,200.8,Cash,Location1
2024-04-28,12:50,Americano with milk,200.8,Cash,Location1
2024-06-20,15:14,Americano,175.2,Card,Location1
2024-03-20,11:51,Cocoa,240.6,Cash,Location1
2024-02-20,21:04,Americano,175.2,Cash,Location1
2024-02-06,15:52,Cappuccino,232.2,Card,Location1
2024-06-25,13:03,Cocoa,240.6,Cash,Location1
2024-04-07,20:43,Americano with milk,200.8,Cash,Location1
2024-06-01,11:11,Americano with milk,200.8,Card,Location1
2024-01-15,16:55,Americano with milk,200.8,Cash,Location1
2024-02-04,16:10,Cortado,170.2,Cash,Location1
2024-04-07,19:50,Hot Chocolate,232.2,Cash,Location1
2024-03-03,12:57,Espresso,145.0,Cash,Location1
2024-03-20,10:05,Cappuccino,232.2,Cash,Location1
2024-05-13,10:59,Espresso,145.0,Cash,Location1
2024-06-27,20:36,Latte,215.4,Card,Location1
2024-04-12,16:02,Espresso,145.0,Cash,Location1
2024-04-27,10:56,Hot Chocolate,232.2,Cash,Location1
2024-06-14,20:20,Cocoa,240.6,Card,Location1
2024-03-13,20:57,Americano,175.2,Cash,Location1
2024-06-04,13:51,Americano with milk,200.8,Card,Location1
2024-04-07,13:29,Cocoa,240.6,Card,Location1
2024-07-10,20:46,Americano,175.2,Card,Location1
2024-07-13,18:53,Americano,175.2,Cash,Location1
2024-04-16,20:13,Espresso,145.0,Card,Location1
2024-03-18,16:22,Latte,215.4,Cash,Location1
2024-07-02,14:44,Hot Chocolate,232.2,Card,Location1
2024-07-10,20:00,Americano with milk,200.8,Card,Location1
2024-04-25,18:59,Cappuccino,232.2,Card,Location1
2024-02-05,11:07,Cocoa,240.6,Card,Location1
2024-02-15,15:52,Americano,175.2,Cash,Location1
2024-04-07,16:51,Americano,175.2,Cash,Location1
2024-02-12,14:32,Americano with milk,200.8,Cash,Location1
2024-05-12,20:12,Latte,215.4,Cash,Location1
2024-03-03,21:11,Americano with milk,200.8,Cash,Location1
2024-05-06,16:53,Espresso,145.0,Card,Location1
2024-05-23,13:40,Espresso,145.0,Card,Location1
2024-05-05,11:32,Latte,215.4,Card,Location1
2024-07-06,14:20,Cortado,170.2,Card,Location1
2024-06-27,20:15,Cappuccino,232.2,Card,Location1
2024-04-04,13:13,Americano,175.2,Cash,Location1
2024-03-08,10:28,Cortado,170.2,Cash,Location1
2024-02-06,16:31,Cortado,170.2,Card,Location1
2024-05-05,20:53,Americano with milk,200.8,Cash,Location1
2024-06-20,20:09,Americano with milk,200.8,Card,Location1
2024-04-01,17:44,Latte,215.4,Card,Location1
2024-05-19,21:10,Americano with milk,200.8,Card,Location1
2024-05-09,15:40,Americano with milk,200.8,Card,Location1
2024-03-03,13:15,Cappuccino,232.2,Card,Location1
2024-06-09,13:25,Espresso,145.0,Card,Location1
2024-07-13,12:00,Latte,215.4,Cash,Location1
2024-06-28,13:38,Americano with milk,200.8,Card,Location1
2024-05-05,14:28,Cocoa,240.6,Card,Location1
2024-06-08,20:04,Americano with milk,200.8,Cash,Location1
2024-06-12,12:33,Espresso,145.0,Cash,Location1
2024-02-26,13:58,Americano with milk,200.8,Card,Location1
2024-05-09,12:23,Latte,215.4,Card,Location1
2024-05-05,10:38,Latte,215.4,Cash,Location1
2024-04-06,15:00,Cappuccino,232.2,Card,Location1
2024-05-19,21:13,Hot Chocolate,232.2,Cash,Location1
2024-04-18,14:13,Americano,175.2,Cash,Location1
2024-05-10,14:06,Cocoa,240.6,Card,Location1
2024-05-21,20:34,Cocoa,240.6,Cash,Location1
2024-03-04,16:44,Cappuccino,232.2,Card,Location1
2024-06-13,13:50,Americano with milk,200.8,Cash,Location1
